algorithm_name,experiment,array_length,time,compare_operations
shell_sort,experiment0,512,0.0020006179809570314,9845.2
shell_sort,experiment0,1024,0.006191825866699219,25857.0
shell_sort,experiment0,2048,0.016800308227539064,65708.2
shell_sort,experiment0,4096,0.07220044136047363,184035.8
shell_sort,experiment0,8192,0.16200871467590333,540185.8
shell_sort,experiment0,16384,0.3461907386779785,1314080.0
shell_sort,experiment1,128,0.0,769.0
shell_sort,experiment1,256,0.0,1793.0
shell_sort,experiment1,512,0.0009999275207519531,4097.0
shell_sort,experiment1,1024,0.0020034313201904297,9217.0
shell_sort,experiment1,2048,0.005038022994995117,20481.0
shell_sort,experiment1,4096,0.009000539779663086,45057.0
shell_sort,experiment1,8192,0.0209963321685791,98305.0
shell_sort,experiment1,16384,0.04600238800048828,212993.0
shell_sort,experiment2,128,0.0,1217.0
shell_sort,experiment2,256,0.0,2817.0
shell_sort,experiment2,512,0.0009989738464355469,6401.0
shell_sort,experiment2,1024,0.002998828887939453,14337.0
shell_sort,experiment2,2048,0.008003950119018555,31745.0
shell_sort,experiment2,4096,0.016958951950073242,69633.0
shell_sort,experiment2,8192,0.03703761100769043,151553.0
shell_sort,experiment2,16384,0.07900071144104004,327681.0
shell_sort,experiment3,128,0.00033362706502278644,947.6666666666666
shell_sort,experiment3,256,0.00033322970072428387,2190.6666666666665
shell_sort,experiment3,512,0.000999768575032552,5068.0
shell_sort,experiment3,1024,0.0026651223500569663,11005.0
shell_sort,experiment3,2048,0.00600131352742513,25436.333333333332
shell_sort,experiment3,4096,0.015334208806355795,55625.666666666664
shell_sort,experiment3,8192,0.02866816520690918,119951.66666666667
shell_sort,experiment3,16384,0.060999393463134766,261990.33333333334
